model,topic,class_0_weight,class_1_weight,class_2_weight,word
ST,abortion,2.780415880608061e-06,-9.43670221391146e-07,-1.8315115316706885e-06,point
MT,abortion,1.4381180649657378e-06,-4.2553016928813674e-07,-1.0064051812412776e-06,point
ST,abortion,-0.17977822275657715,-0.03222745169542715,0.19295714637997993,would
MT,abortion,-0.34497734760408866,0.28350409934783494,0.06147324464206972,would
ST,abortion,-0.005148424722806631,-0.013178927218630994,0.03737587441854258,if
MT,abortion,-0.042397730269057854,0.05019152098182903,-0.00779378840341484,if
ST,abortion,-0.1165185224039977,-0.055029921796709284,0.13298337443099809,for
MT,abortion,-0.15926635568849998,0.058863642992345484,0.1004027042175217,for
ST,abortion,0.08614615657619376,-0.016464850547245415,-0.031116229648262134,that
MT,abortion,-0.020709517500565648,-0.007427936760246894,0.028137455172073476,that
ST,abortion,-0.11940947468472234,0.03533409262807554,0.1547347750789702,thus
MT,abortion,-0.06792048914658999,0.008808484817702897,0.07441133040041287,thus
ST,abortion,-0.08595184707497626,-0.03532530486061593,0.09226416658233953,for
MT,abortion,0.04634587266281137,0.00835172365202228,-0.054697587795793555,for
ST,abortion,0.06059858585035993,-0.006312327188646981,-0.06973820133854201,may
MT,abortion,-0.031157844220235518,-0.006490839711252432,0.022349362006497175,may
ST,abortion,0.034404106785972166,-0.0036004308261600275,-0.05699815103064599,would
MT,abortion,-0.0033644845127412046,0.001845157138742452,0.0015193353938974484,would
ST,abortion,0.041631817515300776,-0.05915805743714262,0.017526246075720196,that
MT,abortion,0.019587881340404695,0.03986658351448387,-0.05945446727123545,that
ST,abortion,3.5931910189528905e-06,-4.8378269701046355e-06,1.2390452374176146e-06,for
MT,abortion,-1.1000704194472169e-06,1.7600949131326119e-06,-6.669740944772958e-07,for
ST,abortion,-0.08737210919002035,-0.01622427324208412,0.10359637249655676,that
MT,abortion,-0.0919514114308936,0.001674030901017895,0.09027737988158768,that
ST,abortion,-0.043591496639629204,-0.016369972334594644,0.05996144830293615,would
MT,abortion,-0.01651228405778956,0.007425928202130668,0.009086351753669968,would
ST,abortion,-0.1418135999140903,-0.05455701892656417,0.19637061783561868,if
MT,abortion,-0.24592323095394353,0.16522295736061762,0.08070027482025109,if
ST,abortion,0.03557925030332655,-0.06442189255383411,0.06452577075675948,truth
MT,abortion,-0.049461074379939025,0.05102636483873539,0.018866560733877078,truth
ST,abortion,-0.025427150978661807,-0.03640889433328716,-0.017286163914047435,fact
MT,abortion,-0.020936485576097334,0.017017230418887915,-0.01018065473705156,fact
ST,abortion,-0.005505094448954531,0.022791255877709915,0.016645465763181922,that
MT,abortion,-0.007637467785813131,0.016489202325945914,0.0039192510799372585,that
ST,abortion,-0.00010387795749108338,0.008781696821999094,0.0008296452184378247,for
MT,abortion,-0.006308553977627076,-0.011229091350288718,-0.0015652956952001845,for
ST,abortion,0.014094562324431058,0.04000915811493869,-0.05410370890810607,for
MT,abortion,-0.02370872759802703,-0.09428884757595442,0.11799757594105983,for
ST,abortion,0.034523215365345264,-0.001066034353490548,-0.034081794040742124,for
MT,abortion,0.014946104810309304,-0.015041711586586409,-0.013120844481817474,for
